sen	verb	verb_idx	cop	cop_idx	child	child_idx	child_features	child_upos	head	head_idx	head_features	head_upos	distance	attractors	metadata	swap_head	feature_vals	prefix	wrong_sen	congruent_attractors	incongruent_attractors	num_attractors	num_congruent_attractors	num_incongruent_attractors	has_attractors	only_has_congruent_attractors	only_has_incongruent_attractors	sample_weight	phenomenon	lang	grammatical_feature	ungrammatical_feature	wo	inflect_item	agreement_certainty
Quizá no alcancen para sacar un diputado, pero por lo menos lo habrá intentado doña Ana, que ha dejado a los componentes de la lista electoral más animados de lo que estaban antes de la visita.	intentado	14	habrá	13.0	doña	15	{'Gender': 'Fem', 'Number': 'Sing', 'lemma': 'doña'}	NOUN	habrá	13	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Fut', 'VerbForm': 'Fin', 'lemma': 'haber', 'Gender': 'Fem'}	AUX	-2	[]	{'sent_id': 'CESS-CAST-P-20000302-11-s8', 'text': 'Quizá no alcancen para sacar un diputado, pero por lo menos lo habrá intentado doña Ana, que ha dejado a los componentes de la lista electoral más animados de lo que estaban antes de la visita.', 'treebank': 'UD_Spanish-AnCora/es_ancora-ud-train.conllu'}	habrán	SG -> PL	Quizá no alcancen para sacar un diputado, pero por lo menos lo	Quizá no alcancen para sacar un diputado, pero por lo menos lo habrán intentado doña Ana, que ha dejado a los componentes de la lista electoral más animados de lo que estaban antes de la visita.	[]	[]	0	0	0	False	False	False	0.0877648785274319	SV-#	spa	SG	PL	VS	aux	+
Si después de el partido nos vemos igual que esta semana no será porque alguien no lo ha advertido.	advertido	18	será	12.0	alguien	14	{'Number': 'Sing', 'PronType': 'Ind', 'lemma': 'alguien'}	PRON	será	12	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Fut', 'VerbForm': 'Fin', 'lemma': 'ser'}	AUX	-2	[]	{'sent_id': 'CESS-CAST-AA-20000224-20165-s4B', 'text': 'Si después del partido nos vemos igual que esta semana no será porque alguien no lo ha advertido.', 'treebank': 'UD_Spanish-AnCora/es_ancora-ud-train.conllu'}	serán	SG -> PL	Si después de el partido nos vemos igual que esta semana no	Si después de el partido nos vemos igual que esta semana no serán porque alguien no lo ha advertido.	[]	[]	0	0	0	False	False	False	0.0877648785274319	SV-#	spa	SG	PL	VS	aux	+
"Preguntado por la influencia que puede tener en las cuentas municipales la propuesta electoral de el PP de que las empresas que ganen menos de tres millones tengan un tipo cero en el Impuesto de Actividades Económicas (IAE), señaló que en las grandes ciudades ""no va a tener repercusión""."	tener	6	puede	5.0	propuesta	12	{'Gender': 'Fem', 'Number': 'Sing', 'lemma': 'propuesta'}	NOUN	puede	5	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'poder', 'Gender': 'Fem'}	AUX	-7	[{'id': 9, 'form': 'las', 'lemma': 'el', 'upos': 'DET', 'xpos': 'da0fp0', 'feats': {'Definite': 'Def', 'Gender': 'Fem', 'Number': 'Plur', 'PronType': 'Art'}, 'head': 10, 'deprel': 'det', 'deps': [('det', 10)], 'misc': {'Entity': '(CESSCASTA2000022217909c29--2-gstype:gen,HomoDD'}}, {'id': 10, 'form': 'cuentas', 'lemma': 'cuenta', 'upos': 'NOUN', 'xpos': 'ncfp000', 'feats': {'Gender': 'Fem', 'Number': 'Plur'}, 'head': 7, 'deprel': 'obl', 'deps': [('obl', 7)], 'misc': {'ArgTem': 'argM:loc'}}, {'id': 11, 'form': 'municipales', 'lemma': 'municipal', 'upos': 'ADJ', 'xpos': 'aq0cp0', 'feats': {'Number': 'Plur'}, 'head': 10, 'deprel': 'amod', 'deps': [('amod', 10)], 'misc': {'ArgTem': 'argM:loc', 'Entity': 'CESSCASTA2000022217909c29)'}}]	"{'sent_id': 'CESS-CAST-A-20000222-17909-s6', 'text': 'Preguntado por la influencia que puede tener en las cuentas municipales la propuesta electoral del PP de que las empresas que ganen menos de tres millones tengan un tipo cero en el Impuesto de Actividades Económicas (IAE), señaló que en las grandes ciudades ""no va a tener repercusión"".', 'treebank': 'UD_Spanish-AnCora/es_ancora-ud-train.conllu'}"	pueden	SG -> PL	Preguntado por la influencia que	"Preguntado por la influencia que pueden tener en las cuentas municipales la propuesta electoral de el PP de que las empresas que ganen menos de tres millones tengan un tipo cero en el Impuesto de Actividades Económicas (IAE), señaló que en las grandes ciudades ""no va a tener repercusión""."	[]	[{'id': 9, 'form': 'las', 'lemma': 'el', 'upos': 'DET', 'xpos': 'da0fp0', 'feats': {'Definite': 'Def', 'Gender': 'Fem', 'Number': 'Plur', 'PronType': 'Art'}, 'head': 10, 'deprel': 'det', 'deps': [('det', 10)], 'misc': {'Entity': '(CESSCASTA2000022217909c29--2-gstype:gen,HomoDD'}}, {'id': 10, 'form': 'cuentas', 'lemma': 'cuenta', 'upos': 'NOUN', 'xpos': 'ncfp000', 'feats': {'Gender': 'Fem', 'Number': 'Plur'}, 'head': 7, 'deprel': 'obl', 'deps': [('obl', 7)], 'misc': {'ArgTem': 'argM:loc'}}, {'id': 11, 'form': 'municipales', 'lemma': 'municipal', 'upos': 'ADJ', 'xpos': 'aq0cp0', 'feats': {'Number': 'Plur'}, 'head': 10, 'deprel': 'amod', 'deps': [('amod', 10)], 'misc': {'ArgTem': 'argM:loc', 'Entity': 'CESSCASTA2000022217909c29)'}}]	3	0	3	True	False	True	0.3215955906040897	SV-#	spa	SG	PL	VS	aux	+
- - Si me hubiera dejado a mí, jefe, le habría salido todo mucho más barato.	salido	13	habría	12.0	todo	14	{'Gender': 'Masc', 'Number': 'Sing', 'PronType': 'Tot', 'lemma': 'todo'}	PRON	habría	12	{'Mood': 'Cnd', 'Number': 'Sing', 'Person': '3', 'VerbForm': 'Fin', 'lemma': 'haber', 'Gender': 'Masc'}	AUX	-2	[]	{'sent_id': '3LB-CAST-t3-6-s6', 'text': '- - Si me hubiera dejado a mí, jefe, le habría salido todo mucho más barato.', 'treebank': 'UD_Spanish-AnCora/es_ancora-ud-train.conllu'}	habrían	SG -> PL	- - Si me hubiera dejado a mí, jefe, le	- - Si me hubiera dejado a mí, jefe, le habrían salido todo mucho más barato.	[]	[]	0	0	0	False	False	False	0.0877648785274319	SV-#	spa	SG	PL	VS	aux	+
¿Ya no estaba garantizado su divino derecho a quedar como los mejores de el mundo?	garantizado	4	estaba	3.0	derecho	7	{'Gender': 'Masc', 'Number': 'Sing', 'lemma': 'derecho'}	NOUN	estaba	3	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Imp', 'VerbForm': 'Fin', 'lemma': 'estar', 'Gender': 'Masc'}	AUX	-4	[{'id': 5, 'form': 'garantizado', 'lemma': 'garantizar', 'upos': 'VERB', 'xpos': 'VBN', 'feats': {'Gender': 'Masc', 'Number': 'Sing', 'Tense': 'Past', 'VerbForm': 'Part'}, 'head': 0, 'deprel': 'root', 'deps': None, 'misc': None}, {'id': 6, 'form': 'su', 'lemma': 'su', 'upos': 'PRON', 'xpos': 'DTP$', 'feats': {'Gender': 'Masc', 'Number': 'Sing', 'Person': '3', 'Poss': 'Yes', 'PronType': 'Prs'}, 'head': 8, 'deprel': 'det', 'deps': None, 'misc': None}]	{'sent_id': 'n01073023', 'text': '¿Ya no estaba garantizado su divino derecho a quedar como los mejores del mundo?', 'text_en': 'Was their divine right to the mantle as the world’s best no longer warranted?', 'treebank': 'UD_Spanish-PUD/es_pud-ud-test.conllu'}	estaban	SG -> PL	¿Ya no	¿Ya no estaban garantizado su divino derecho a quedar como los mejores de el mundo?	[{'id': 5, 'form': 'garantizado', 'lemma': 'garantizar', 'upos': 'VERB', 'xpos': 'VBN', 'feats': {'Gender': 'Masc', 'Number': 'Sing', 'Tense': 'Past', 'VerbForm': 'Part'}, 'head': 0, 'deprel': 'root', 'deps': None, 'misc': None}, {'id': 6, 'form': 'su', 'lemma': 'su', 'upos': 'PRON', 'xpos': 'DTP$', 'feats': {'Gender': 'Masc', 'Number': 'Sing', 'Person': '3', 'Poss': 'Yes', 'PronType': 'Prs'}, 'head': 8, 'deprel': 'det', 'deps': None, 'misc': None}]	[]	2	2	0	True	True	False	0.0075013325559566	SV-#	spa	SG	PL	VS	aux	+
- - Antes he oído yo decir - - dijo ZZNM - - que quien canta sus males espanta.	oído	4	he	3.0	yo	5	{'Case': 'Nom', 'Number': 'Sing', 'Person': '1', 'PronType': 'Prs', 'lemma': 'yo'}	PRON	he	3	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'haber'}	AUX	-2	[]	{'sent_id': '3LB-CAST-e1-4-s13', 'text': '- - Antes he oído yo decir - - dijo ZZNM - - que quien canta sus males espanta.', 'treebank': 'UD_Spanish-AnCora/es_ancora-ud-train.conllu'}	hemos	SG -> PL	- - Antes	- - Antes hemos oído yo decir - - dijo ZZNM - - que quien canta sus males espanta.	[]	[]	0	0	0	False	False	False	0.0877648785274319	SV-#	spa	SG	PL	VS	aux	+
"El portavoz de los familiares de Elián en Miami, Armando Gutiérrez, dijo a la prensa que no se sabe de quién está recibiendo órdenes la secretaria de Justicia, Janet Reno, ""o de Clinton o de Castro""."	recibiendo	24	está	23.0	secretaria	27	{'Gender': 'Fem', 'Number': 'Sing', 'lemma': 'secretaria'}	NOUN	está	23	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'estar', 'Gender': 'Fem'}	AUX	-4	[{'id': 26, 'form': 'órdenes', 'lemma': 'orden', 'upos': 'NOUN', 'xpos': 'ncfp000', 'feats': {'Gender': 'Fem', 'Number': 'Plur'}, 'head': 25, 'deprel': 'obj', 'deps': [('obj', 25)], 'misc': {'ArgTem': 'arg1:pat', 'Entity': '(NOCOREF:Gen--1-gstype:gen)'}}]	"{'sent_id': 'CESS-CAST-AA-20000328-23195-s10', 'text': 'El portavoz de los familiares de Elián en Miami, Armando Gutiérrez, dijo a la prensa que no se sabe de quién está recibiendo órdenes la secretaria de Justicia, Janet Reno, ""o de Clinton o de Castro"".', 'treebank': 'UD_Spanish-AnCora/es_ancora-ud-train.conllu'}"	están	SG -> PL	El portavoz de los familiares de Elián en Miami, Armando Gutiérrez, dijo a la prensa que no se sabe de quién	"El portavoz de los familiares de Elián en Miami, Armando Gutiérrez, dijo a la prensa que no se sabe de quién están recibiendo órdenes la secretaria de Justicia, Janet Reno, ""o de Clinton o de Castro""."	[]	[{'id': 26, 'form': 'órdenes', 'lemma': 'orden', 'upos': 'NOUN', 'xpos': 'ncfp000', 'feats': {'Gender': 'Fem', 'Number': 'Plur'}, 'head': 25, 'deprel': 'obj', 'deps': [('obj', 25)], 'misc': {'ArgTem': 'arg1:pat', 'Entity': '(NOCOREF:Gen--1-gstype:gen)'}}]	1	0	1	True	False	True	0.1205983464765336	SV-#	spa	SG	PL	VS	aux	+
"""Si se hubiera advertido a la gente de que no tocaran objetos sospechosos, no hubiera muerto aquel anciano"", afirma David, en referencia a Juan Manuel Sarmiento, el jubilado fallecido el día 13 a el manipular un artefacto que había encontrado en la playa de Llevant."	muerto	17	hubiera	16.0	anciano	19	{'Gender': 'Masc', 'Number': 'Sing', 'lemma': 'anciano'}	NOUN	hubiera	16	{'Mood': 'Sub', 'Number': 'Sing', 'Person': '3', 'Tense': 'Imp', 'VerbForm': 'Fin', 'lemma': 'haber', 'Gender': 'Masc'}	AUX	-3	[{'id': 18, 'form': 'muerto', 'lemma': 'morir', 'upos': 'VERB', 'xpos': 'vmp00sm', 'feats': {'Gender': 'Masc', 'Number': 'Sing', 'Tense': 'Past', 'VerbForm': 'Part'}, 'head': 23, 'deprel': 'ccomp', 'deps': [('ccomp', 23)], 'misc': {'ArgTem': 'arg1:pat', 'Cxn': 'Conditional-NegativeEpistemic', 'CxnElt': '18:Conditional-NegativeEpistemic.Apodosis@p'}}]	"{'sent_id': 'CESS-CAST-P-19990301-37-s15', 'text': '""Si se hubiera advertido a la gente de que no tocaran objetos sospechosos, no hubiera muerto aquel anciano"", afirma David, en referencia a Juan Manuel Sarmiento, el jubilado fallecido el día 13 al manipular un artefacto que había encontrado en la playa de Llevant.', 'treebank': 'UD_Spanish-AnCora/es_ancora-ud-test.conllu'}"	hubieran	SG -> PL	"""Si se hubiera advertido a la gente de que no tocaran objetos sospechosos, no"	"""Si se hubiera advertido a la gente de que no tocaran objetos sospechosos, no hubieran muerto aquel anciano"", afirma David, en referencia a Juan Manuel Sarmiento, el jubilado fallecido el día 13 a el manipular un artefacto que había encontrado en la playa de Llevant."	[{'id': 18, 'form': 'muerto', 'lemma': 'morir', 'upos': 'VERB', 'xpos': 'vmp00sm', 'feats': {'Gender': 'Masc', 'Number': 'Sing', 'Tense': 'Past', 'VerbForm': 'Part'}, 'head': 23, 'deprel': 'ccomp', 'deps': [('ccomp', 23)], 'misc': {'ArgTem': 'arg1:pat', 'Cxn': 'Conditional-NegativeEpistemic', 'CxnElt': '18:Conditional-NegativeEpistemic.Apodosis@p'}}]	[]	1	1	0	True	True	False	0.0001899071533153	SV-#	spa	SG	PL	VS	aux	+
La JCE dispuso por su parte que fuera ampliado en una hora el plazo para que las mujeres, que votarán por la mañana, se inscriban en las listas.	ampliado	8	fuera	7.0	plazo	13	{'Gender': 'Masc', 'Number': 'Sing', 'lemma': 'plazo'}	NOUN	fuera	7	{'Mood': 'Sub', 'Number': 'Sing', 'Person': '3', 'Tense': 'Imp', 'VerbForm': 'Fin', 'lemma': 'ser', 'Gender': 'Masc'}	AUX	-6	[{'id': 9, 'form': 'ampliado', 'lemma': 'ampliar', 'upos': 'VERB', 'xpos': 'vmp00sm', 'feats': {'Gender': 'Masc', 'Number': 'Sing', 'Tense': 'Past', 'VerbForm': 'Part'}, 'head': 3, 'deprel': 'ccomp', 'deps': [('ccomp', 3)], 'misc': {'ArgTem': 'arg1:pat'}}, {'id': 11, 'form': 'una', 'lemma': 'uno', 'upos': 'DET', 'xpos': 'di0fs0', 'feats': {'Definite': 'Ind', 'Gender': 'Fem', 'Number': 'Sing', 'PronType': 'Art'}, 'head': 12, 'deprel': 'det', 'deps': [('det', 12)], 'misc': None}, {'id': 12, 'form': 'hora', 'lemma': 'hora', 'upos': 'NOUN', 'xpos': 'ncfs000', 'feats': {'Gender': 'Fem', 'Number': 'Sing'}, 'head': 9, 'deprel': 'obl', 'deps': [('obl', 9)], 'misc': {'ArgTem': 'argM:tmp'}}]	{'sent_id': 'CESS-CAST-A-20000515-11470-s12', 'text': 'La JCE dispuso por su parte que fuera ampliado en una hora el plazo para que las mujeres, que votarán por la mañana, se inscriban en las listas.', 'treebank': 'UD_Spanish-AnCora/es_ancora-ud-dev.conllu'}	fueran	SG -> PL	La JCE dispuso por su parte que	La JCE dispuso por su parte que fueran ampliado en una hora el plazo para que las mujeres, que votarán por la mañana, se inscriban en las listas.	[{'id': 9, 'form': 'ampliado', 'lemma': 'ampliar', 'upos': 'VERB', 'xpos': 'vmp00sm', 'feats': {'Gender': 'Masc', 'Number': 'Sing', 'Tense': 'Past', 'VerbForm': 'Part'}, 'head': 3, 'deprel': 'ccomp', 'deps': [('ccomp', 3)], 'misc': {'ArgTem': 'arg1:pat'}}, {'id': 11, 'form': 'una', 'lemma': 'uno', 'upos': 'DET', 'xpos': 'di0fs0', 'feats': {'Definite': 'Ind', 'Gender': 'Fem', 'Number': 'Sing', 'PronType': 'Art'}, 'head': 12, 'deprel': 'det', 'deps': [('det', 12)], 'misc': None}, {'id': 12, 'form': 'hora', 'lemma': 'hora', 'upos': 'NOUN', 'xpos': 'ncfs000', 'feats': {'Gender': 'Fem', 'Number': 'Sing'}, 'head': 9, 'deprel': 'obl', 'deps': [('obl', 9)], 'misc': {'ArgTem': 'argM:tmp'}}]	[]	3	3	0	True	True	False	0.040007106965102	SV-#	spa	SG	PL	VS	aux	+
"El presidente de Iberdrola, Iñigo de Oriol, explicó que su empresa ofreció a Repsol YPF los activos que deberá vender la compañía fusionada y que su presidente, Alfonso Cortina, contestó con ""otro tipo de oferta que yo no la califico ni de oferta""."	vender	21	deberá	20.0	compañía	23	{'Gender': 'Fem', 'Number': 'Sing', 'lemma': 'compañía'}	NOUN	deberá	20	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Fut', 'VerbForm': 'Fin', 'lemma': 'deber', 'Gender': 'Fem'}	AUX	-3	[]	"{'sent_id': 'CESS-CAST-A-20001019-15624-s3', 'text': 'El presidente de Iberdrola, Iñigo de Oriol, explicó que su empresa ofreció a Repsol YPF los activos que deberá vender la compañía fusionada y que su presidente, Alfonso Cortina, contestó con ""otro tipo de oferta que yo no la califico ni de oferta"".', 'treebank': 'UD_Spanish-AnCora/es_ancora-ud-train.conllu'}"	deberán	SG -> PL	El presidente de Iberdrola, Iñigo de Oriol, explicó que su empresa ofreció a Repsol YPF los activos que	"El presidente de Iberdrola, Iñigo de Oriol, explicó que su empresa ofreció a Repsol YPF los activos que deberán vender la compañía fusionada y que su presidente, Alfonso Cortina, contestó con ""otro tipo de oferta que yo no la califico ni de oferta""."	[]	[]	0	0	0	False	False	False	0.0033328434883834	SV-#	spa	SG	PL	VS	aux	+
