	sen	verb	verb_idx	cop	cop_idx	child	child_idx	child_features	child_upos	head	head_idx	head_features	head_upos	distance	attractors	metadata	swap_head	feature_vals	prefix	wrong_sen	congruent_attractors	incongruent_attractors	num_attractors	num_congruent_attractors	num_incongruent_attractors	has_attractors	only_has_congruent_attractors	only_has_incongruent_attractors	sample_weight	phenomenon	lang	grammatical_feature	ungrammatical_feature	wo	inflect_item	agreement_certainty	sen_prob	wrong_prob	sen_nll	wrong_nll	delta
0	Yes, lovely creature, is n't she?	is	5			she	7	{'Case': 'Nom', 'Gender': 'Fem', 'Number': 'Sing', 'Person': '3', 'PronType': 'Prs', 'lemma': 'she'}	PRON	is	5	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be', 'Gender': 'Fem'}	VERB	-2	[]	"{'sent_id': 'en_lines-ud-dev-doc6-3938', 'text': ""Yes, lovely creature, isn't she?"", 'treebank': 'UD_English-LinES/en_lines-ud-dev.conllu'}"	am	3 -> 1	Yes, lovely creature,	Yes, lovely creature, am n't she?	[]	[]	0	0	0	False	False	False	0.0107142857142857	SV-P	eng	3	1	VS	verb	+	[-7.381734848022461, -0.43903255462646484, -10.462449073791504, -7.838423728942871, -0.7058982849121094, -6.241194725036621, -9.698095321655273, -1.569319725036621, -0.008653640747070312, -3.7027530670166016, -0.5601921081542969]	[-7.381734848022461, -0.43903255462646484, -10.462449073791504, -7.838423728942871, -0.7058982849121094, -8.104830741882324, -12.659849166870117, -1.6295766830444336, -0.16172122955322266, -4.864086151123047, -0.7128286361694336]	48.60774612426758	54.96043395996094	6.352687835693359
1	There is no easy answer to the painful issue of abortion.	is	1			answer	4	{'Number': 'Sing', 'lemma': 'answer'}	NOUN	is	1	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be'}	VERB	-3	[]	{'sent_id': 'en_lines-ud-test-doc5-4814', 'text': 'There is no easy answer to the painful issue of abortion.', 'treebank': 'UD_English-LinES/en_lines-ud-test.conllu'}	am	3 -> 1	There	There am no easy answer to the painful issue of abortion.	[]	[]	0	0	0	False	False	False	0.1071428571428571	SV-P	eng	3	1	VS	verb	+	[-5.2845869064331055, -1.7057876586914062, -1.6229915618896484, -5.149223327636719, -1.4699153900146484, -0.37380218505859375, -1.3188457489013672, -9.68459415435791, -3.9599952697753906, -0.06276702880859375, -4.04878044128418, -0.5808095932006836]	[-5.2845869064331055, -12.489612579345703, -4.858077526092529, -5.13630485534668, -2.4506912231445312, -0.5035228729248047, -1.616663932800293, -9.693532943725586, -4.0318193435668945, -0.1314525604248047, -3.7947349548339844, -0.6075954437255859]	35.26210021972656	50.598594665527344	15.336494445800781
2	Right up to a week after my birth he continued to say, 'How is he?'	is	15			he	16	{'Case': 'Nom', 'Gender': 'Masc', 'Number': 'Sing', 'Person': '3', 'PronType': 'Prs', 'lemma': 'he'}	PRON	is	15	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be', 'Gender': 'Masc'}	AUX	-1	[]	"{'sent_id': 'en_lines-ud-train-doc8-2912', 'text': ""Right up to a week after my birth he continued to say, 'How is he?'"", 'treebank': 'UD_English-LinES/en_lines-ud-train.conllu'}"	am	3 -> 1	Right up to a week after my birth he continued to say, 'How	Right up to a week after my birth he continued to say, 'How am he?'	[]	[]	0	0	0	False	False	False	0.1071428571428571	SV-P	eng	3	1	VS	verb	+	[-8.051332473754883, -5.644782066345215, -1.8005867004394531, -3.6256818771362305, -2.672189712524414, -2.685360908508301, -3.5160789489746094, -5.0551605224609375, -6.323081016540527, -5.059006690979004, -0.19686222076416016, -4.084285736083984, -2.4533138275146484, -2.9147300720214844, -4.879915237426758, -2.4193382263183594, -2.9461517333984375, -0.9939556121826172]	[-8.051332473754883, -5.644782066345215, -1.8005867004394531, -3.6256818771362305, -2.672189712524414, -2.685360908508301, -3.5160789489746094, -5.0551605224609375, -6.323081016540527, -5.059006690979004, -0.19686222076416016, -4.084285736083984, -2.4533138275146484, -2.9147300720214844, -4.879915237426758, -4.580411911010742, -12.935758590698242, -1.8468656539916992]	65.32181549072266	78.32540893554688	13.003593444824219
3	This is whale meat that I photographed in a grocery store in Tokyo - or is it?	is	15			it	16	{'Number': 'Sing', 'Person': '3', 'PronType': 'Prs', 'lemma': 'it'}	PRON	is	15	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be'}	VERB	-1	[]	{'sent_id': 'en_partut-ud-855', 'text': 'This is whale meat that I photographed in a grocery store in Tokyo - or is it?', 'treebank': 'UD_English-ParTUT/en_partut-ud-train.conllu'}	am	3 -> 1	This is whale meat that I photographed in a grocery store in Tokyo - or	This is whale meat that I photographed in a grocery store in Tokyo - or am it?	[]	[]	0	0	0	False	False	False	0.0357142857142857	SV-P	eng	3	1	VS	verb	+	[-4.5151848793029785, -1.6151304244995117, -15.294419288635254, -4.00593900680542, -3.125796318054199, -2.5083274841308594, -7.084355354309082, -1.6075019836425781, -3.253927230834961, -5.109840393066406, -0.04845237731933594, -0.8390970230102539, -5.265837669372559, -6.35113525390625, -5.629560947418213, -3.1036062240600586, -0.13158798217773438, -1.1426887512207031]	[-4.5151848793029785, -1.6151304244995117, -15.294419288635254, -4.00593900680542, -3.125796318054199, -2.5083274841308594, -7.084355354309082, -1.6075019836425781, -3.253927230834961, -5.109840393066406, -0.04845237731933594, -0.8390970230102539, -5.265837669372559, -6.35113525390625, -5.629560947418213, -6.392024517059326, -4.401395797729492, -2.881673812866211]	70.63238525390625	79.92959594726562	9.297210693359375
4	Among them is the former cloister from the abbey church of St. Peter and Paul.	is	2			cloister	5	{'Number': 'Sing', 'lemma': 'cloister'}	NOUN	is	2	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be'}	VERB	-3	[]	{'newdoc id': 'w02004', 'sent_id': 'w02004008', 'text': 'Among them is the former cloister from the abbey church of St. Peter and Paul.', 'treebank': 'UD_English-PUD/en_pud-ud-test.conllu'}	am	3 -> 1	Among them	Among them am the former cloister from the abbey church of St. Peter and Paul.	[]	[]	0	0	0	False	False	False	0.1071428571428571	SV-P	eng	3	1	VS	verb	+	[-8.494950294494629, -3.7697010040283203, -2.218442916870117, -1.3289518356323242, -5.5042572021484375, -14.980229377746582, -0.42332935333251953, -4.915633201599121, -0.5292224884033203, -4.174721717834473, -2.977494239807129, -0.6509370803833008, -1.8894271850585938, -0.33836841583251953, -3.028104782104492, -1.2845163345336914, -0.7700490951538086, -1.9587669372558594]	[-8.494950294494629, -3.7697010040283203, -10.188965797424316, -3.231700897216797, -6.059826850891113, -13.749396324157715, -0.6457109451293945, -5.736025333404541, -1.135258674621582, -4.422270774841309, -4.350798606872559, -0.7586174011230469, -2.041384696960449, -0.32044410705566406, -3.0207138061523438, -1.262643814086914, -0.7762870788574219, -2.034282684326172]	59.23710250854492	71.99897766113281	12.76187515258789
5	how much is a flight from washington to montreal	is	2			flight	4	{'Number': 'Sing', 'lemma': 'flight'}	NOUN	is	2	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be'}	AUX	-2	[]	{'sent_id': '2932.train', 'text': 'how much is a flight from washington to montreal', 'treebank': 'UD_English-Atis/en_atis-ud-train.conllu'}	'm	3 -> 1	how much	how much 'm a flight from washington to montreal	[]	[]	0	0	0	False	False	False	0.0107142857142857	SV-P	eng	3	1	VS	verb	+	[-8.144918441772461, -3.0636234283447266, -1.8662052154541016, -1.0917329788208008, -7.1498284339904785, -0.9177465438842773, -5.362534046173096, -1.5352649688720703, -5.7772932052612305, -0.27890872955322266]	[-8.144918441772461, -3.0636234283447266, -10.714423179626465, -5.620250701904297, -5.334609031677246, -9.094097137451172, -5.243645191192627, -5.870736122131348, -1.6561002731323242, -5.710468769073486, -0.28920459747314453]	35.18805694580078	60.7420768737793	25.554019927978516
6	Among them is the former cloister from the abbey church of St. Peter and Paul.	is	2			cloister	5	{'Number': 'Sing', 'lemma': 'cloister'}	NOUN	is	2	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be'}	VERB	-3	[]	{'newdoc id': 'w02004', 'sent_id': 'w02004008', 'text': 'Among them is the former cloister from the abbey church of St. Peter and Paul.', 'treebank': 'UD_English-PUD/en_pud-ud-test.conllu'}	'm	3 -> 1	Among them	Among them 'm the former cloister from the abbey church of St. Peter and Paul.	[]	[]	0	0	0	False	False	False	0.1071428571428571	SV-P	eng	3	1	VS	verb	+	[-8.494950294494629, -3.7697010040283203, -2.218442916870117, -1.3289518356323242, -5.504258155822754, -14.980229377746582, -0.42332935333251953, -4.915633201599121, -0.5292224884033203, -4.174721717834473, -2.9774932861328125, -0.6509370803833008, -1.8894271850585938, -0.33836841583251953, -3.028104782104492, -1.2845163345336914, -0.7700490951538086, -1.9587669372558594]	[-8.494950294494629, -3.7697010040283203, -9.495423316955566, -5.543605327606201, -5.216172218322754, -6.842917442321777, -13.233039855957031, -0.4979715347290039, -5.445191860198975, -0.9390478134155273, -4.000764846801758, -3.487351417541504, -1.0116376876831055, -1.9193220138549805, -0.4191322326660156, -3.0286197662353516, -1.3516530990600586, -1.0212831497192383, -2.1223793029785156]	59.23710250854492	77.84016418457031	18.60306167602539
7	Right up to a week after my birth he continued to say, 'How is he?'	is	15			he	16	{'Case': 'Nom', 'Gender': 'Masc', 'Number': 'Sing', 'Person': '3', 'PronType': 'Prs', 'lemma': 'he'}	PRON	is	15	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be', 'Gender': 'Masc'}	AUX	-1	[]	"{'sent_id': 'en_lines-ud-train-doc8-2912', 'text': ""Right up to a week after my birth he continued to say, 'How is he?'"", 'treebank': 'UD_English-LinES/en_lines-ud-train.conllu'}"	'm	3 -> 1	Right up to a week after my birth he continued to say, 'How	Right up to a week after my birth he continued to say, 'How 'm he?'	[]	[]	0	0	0	False	False	False	0.1071428571428571	SV-P	eng	3	1	VS	verb	+	[-8.051332473754883, -5.644782066345215, -1.8005867004394531, -3.6256818771362305, -2.672189712524414, -2.685360908508301, -3.5160789489746094, -5.0551605224609375, -6.323081016540527, -5.059006690979004, -0.19686222076416016, -4.084285736083984, -2.4533138275146484, -2.9147300720214844, -4.879915237426758, -2.4193382263183594, -2.9461517333984375, -0.9939556121826172]	[-8.051332473754883, -5.644782066345215, -1.8005867004394531, -3.6256818771362305, -2.672189712524414, -2.685360908508301, -3.5160789489746094, -5.0551605224609375, -6.323081016540527, -5.059006690979004, -0.19686222076416016, -4.084285736083984, -2.4533138275146484, -2.9147300720214844, -4.879915237426758, -6.399755477905273, -5.222015857696533, -6.588196754455566, -1.8222875595092773]	65.32181549072266	78.99462890625	13.672813415527344
8	There is no easy answer to the painful issue of abortion.	is	1			answer	4	{'Number': 'Sing', 'lemma': 'answer'}	NOUN	is	1	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be'}	VERB	-3	[]	{'sent_id': 'en_lines-ud-test-doc5-4814', 'text': 'There is no easy answer to the painful issue of abortion.', 'treebank': 'UD_English-LinES/en_lines-ud-test.conllu'}	'm	3 -> 1	There	There 'm no easy answer to the painful issue of abortion.	[]	[]	0	0	0	False	False	False	0.1071428571428571	SV-P	eng	3	1	VS	verb	+	[-5.2845869064331055, -1.7057876586914062, -1.6229915618896484, -5.149222373962402, -1.4699153900146484, -0.37380218505859375, -1.3188457489013672, -9.68459415435791, -3.9599952697753906, -0.06276702880859375, -4.04878044128418, -0.5808095932006836]	[-5.2845869064331055, -10.536306381225586, -7.405750274658203, -2.1338062286376953, -5.303735256195068, -3.9175682067871094, -0.5335416793823242, -1.7160816192626953, -9.4733247756958, -3.946242332458496, -0.14065933227539062, -3.8743724822998047, -0.7390470504760742]	35.2620964050293	55.00502014160156	19.742923736572266
9	how much is a flight from washington to boston	is	2			flight	4	{'Number': 'Sing', 'lemma': 'flight'}	NOUN	is	2	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be'}	AUX	-2	[]	{'sent_id': '2930.train', 'text': 'how much is a flight from washington to boston', 'treebank': 'UD_English-Atis/en_atis-ud-train.conllu'}	'm	3 -> 1	how much	how much 'm a flight from washington to boston	[]	[]	0	0	0	False	False	False	0.0107142857142857	SV-P	eng	3	1	VS	verb	+	[-8.144918441772461, -3.0636234283447266, -1.8662052154541016, -1.0917320251464844, -7.1498284339904785, -0.9177465438842773, -5.362534046173096, -1.5352649688720703, -4.40184211730957]	[-8.144918441772461, -3.0636234283447266, -10.714423179626465, -5.620250701904297, -5.334609031677246, -9.094097137451172, -5.243645191192627, -5.870736122131348, -1.6561002731323242, -4.222537040710449]	33.533695220947266	58.96493911743164	25.431243896484375
