sen	verb	verb_idx	cop	cop_idx	child	child_idx	child_features	child_upos	head	head_idx	head_features	head_upos	distance	attractors	metadata	swap_head	feature_vals	prefix	wrong_sen	congruent_attractors	incongruent_attractors	num_attractors	num_congruent_attractors	num_incongruent_attractors	has_attractors	only_has_congruent_attractors	only_has_incongruent_attractors	sample_weight	phenomenon	lang	grammatical_feature	ungrammatical_feature	wo	inflect_item	agreement_certainty
Se os testes indicassem um número baixo de glóbulos vermelhos , não seria recolhido sangue .	recolhido	13	seria	12.0	sangue	14	{'Gender': 'Masc', 'Number': 'Sing', 'lemma': 'sangue'}	NOUN	seria	12	{'Mood': 'Cnd', 'Number': 'Sing', 'Person': '3', 'VerbForm': 'Fin', 'lemma': 'ser', 'Gender': 'Masc'}	AUX	-2	[]	{'sent_id': '33546', 'text': 'Se os testes indicassem um número baixo de glóbulos vermelhos , não seria recolhido sangue .', 'treebank': 'UD_Portuguese-CINTIL/pt_cintil-ud-dev.conllu'}	seriam	SG -> PL	Se os testes indicassem um número baixo de glóbulos vermelhos , não	Se os testes indicassem um número baixo de glóbulos vermelhos , não seriam recolhido sangue .	[]	[]	0	0	0	False	False	False	0.0368775748608337	SV-#	por	SG	PL	VS	aux	+
Em_ o âmbito de_ a Convenção de Lomé IV , será pedida ajuda para o efeito .	pedida	11	será	10.0	ajuda	12	{'Gender': 'Fem', 'Number': 'Sing', 'lemma': 'ajuda'}	NOUN	será	10	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Fut', 'VerbForm': 'Fin', 'lemma': 'ser', 'Gender': 'Fem'}	AUX	-2	[]	{'sent_id': '19684', 'text': 'No âmbito da Convenção de Lomé IV , será pedida ajuda para o efeito .', 'treebank': 'UD_Portuguese-CINTIL/pt_cintil-ud-train.conllu'}	serão	SG -> PL	Em_ o âmbito de_ a Convenção de Lomé IV ,	Em_ o âmbito de_ a Convenção de Lomé IV , serão pedida ajuda para o efeito .	[]	[]	0	0	0	False	False	False	0.0020487541589352	SV-#	por	SG	PL	VS	aux	+
Em a quarta (17), a as 10h e a as 15 horas, deve ocorrer outra em a Escola Municipal Ambrósio Iantas.	ocorrer	17	deve	16.0	outra	18	{'lemma': ''}	PRON	deve	16	{'lemma': 'dever'}	AUX	-2	[]	{'sent_id': 'train-s6705', 'text': 'Na quarta (17), às 10h e às 15 horas, deve ocorrer outra na Escola Municipal Ambrósio Iantas.', 'treebank': 'UD_Portuguese-GSD/pt_gsd-ud-train.conllu'}	devem	SG -> PL	Em a quarta (17), a as 10h e a as 15 horas,	Em a quarta (17), a as 10h e a as 15 horas, devem ocorrer outra em a Escola Municipal Ambrósio Iantas.	[]	[]	0	0	0	False	False	False	0.0737551497216674	SV-#	por	SG	PL	VS	aux	+
Em_ a Bedeteca de Lisboa é hoje inaugurada , a_ as 22 horas , a exposição ' Raphael Bordalo Pinheiro a_ os Quadradinhos ' .	inaugurada	7	é	5.0	exposição	15	{'Gender': 'Fem', 'Number': 'Sing', 'lemma': 'exposição'}	NOUN	é	5	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'ser', 'Gender': 'Fem'}	AUX	-10	[{'id': 8, 'form': 'inaugurada', 'lemma': 'inaugurar,inaugurado', 'upos': 'VERB', 'xpos': 'PPA', 'feats': {'Gender': 'Fem', 'Number': 'Sing', 'VerbForm': 'Part'}, 'head': 0, 'deprel': 'root', 'deps': None, 'misc': None}, {'id': 11, 'form': 'as', 'lemma': 'as', 'upos': 'DET', 'xpos': 'DA', 'feats': {'Definite': 'Def', 'Gender': 'Fem', 'Number': 'Plur', 'PronType': 'Art'}, 'head': 13, 'deprel': 'det', 'deps': None, 'misc': None}, {'id': 13, 'form': 'horas', 'lemma': 'hora', 'upos': 'NOUN', 'xpos': 'CN', 'feats': {'Gender': 'Fem', 'Number': 'Plur'}, 'head': 8, 'deprel': 'obl', 'deps': None, 'misc': None}]	"{'sent_id': '17151', 'text': ""Na Bedeteca de Lisboa é hoje inaugurada , às 22 horas , a exposição ' Raphael Bordalo Pinheiro aos Quadradinhos ' ."", 'treebank': 'UD_Portuguese-CINTIL/pt_cintil-ud-train.conllu'}"	são	SG -> PL	Em_ a Bedeteca de Lisboa	Em_ a Bedeteca de Lisboa são hoje inaugurada , a_ as 22 horas , a exposição ' Raphael Bordalo Pinheiro a_ os Quadradinhos ' .	[{'id': 8, 'form': 'inaugurada', 'lemma': 'inaugurar,inaugurado', 'upos': 'VERB', 'xpos': 'PPA', 'feats': {'Gender': 'Fem', 'Number': 'Sing', 'VerbForm': 'Part'}, 'head': 0, 'deprel': 'root', 'deps': None, 'misc': None}]	[{'id': 11, 'form': 'as', 'lemma': 'as', 'upos': 'DET', 'xpos': 'DA', 'feats': {'Definite': 'Def', 'Gender': 'Fem', 'Number': 'Plur', 'PronType': 'Art'}, 'head': 13, 'deprel': 'det', 'deps': None, 'misc': None}, {'id': 13, 'form': 'horas', 'lemma': 'hora', 'upos': 'NOUN', 'xpos': 'CN', 'feats': {'Gender': 'Fem', 'Number': 'Plur'}, 'head': 8, 'deprel': 'obl', 'deps': None, 'misc': None}]	3	1	2	True	False	False	0.015365656192014	SV-#	por	SG	PL	VS	aux	+
O Presidente russo , Boris Ieltsin , e o líder independentista tchetcheno , Zelimkhan Iandarbiev , deverão encontrar -se em Moscovo em_ a segunda-feira , para negociações de paz durante as quais será decretado por ambas as partes um cessar-fogo em_ a república rebelde .	decretado	33	será	32.0	cessar-fogo	39	{'Gender': 'Masc', 'Number': 'Sing', 'lemma': 'cessar-fogo'}	NOUN	será	32	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Fut', 'VerbForm': 'Fin', 'lemma': 'ser', 'Gender': 'Masc'}	AUX	-7	[{'id': 34, 'form': 'decretado', 'lemma': 'decretar,decretado', 'upos': 'VERB', 'xpos': 'PPA', 'feats': {'Gender': 'Masc', 'Number': 'Sing', 'VerbForm': 'Part'}, 'head': 27, 'deprel': 'amod', 'deps': None, 'misc': None}, {'id': 36, 'form': 'ambas', 'lemma': 'ambas', 'upos': 'DET', 'xpos': 'QNT', 'feats': {'Gender': 'Fem', 'Number': 'Plur', 'PronType': 'Ind'}, 'head': 38, 'deprel': 'det', 'deps': None, 'misc': None}, {'id': 37, 'form': 'as', 'lemma': 'as', 'upos': 'DET', 'xpos': 'DA', 'feats': {'Definite': 'Def', 'Gender': 'Fem', 'Number': 'Plur', 'PronType': 'Art'}, 'head': 38, 'deprel': 'det', 'deps': None, 'misc': None}, {'id': 38, 'form': 'partes', 'lemma': 'parte', 'upos': 'NOUN', 'xpos': 'CN', 'feats': {'Gender': 'Fem', 'Number': 'Plur'}, 'head': 34, 'deprel': 'obl', 'deps': None, 'misc': None}]	{'sent_id': '36605', 'text': 'O Presidente russo , Boris Ieltsin , e o líder independentista tchetcheno , Zelimkhan Iandarbiev , deverão encontrar-se em Moscovo na segunda-feira , para negociações de paz durante as quais será decretado por ambas as partes um cessar-fogo na república rebelde .', 'treebank': 'UD_Portuguese-CINTIL/pt_cintil-ud-test.conllu'}	serão	SG -> PL	O Presidente russo , Boris Ieltsin , e o líder independentista tchetcheno , Zelimkhan Iandarbiev , deverão encontrar -se em Moscovo em_ a segunda-feira , para negociações de paz durante as quais	O Presidente russo , Boris Ieltsin , e o líder independentista tchetcheno , Zelimkhan Iandarbiev , deverão encontrar -se em Moscovo em_ a segunda-feira , para negociações de paz durante as quais serão decretado por ambas as partes um cessar-fogo em_ a república rebelde .	[{'id': 34, 'form': 'decretado', 'lemma': 'decretar,decretado', 'upos': 'VERB', 'xpos': 'PPA', 'feats': {'Gender': 'Masc', 'Number': 'Sing', 'VerbForm': 'Part'}, 'head': 27, 'deprel': 'amod', 'deps': None, 'misc': None}]	[{'id': 36, 'form': 'ambas', 'lemma': 'ambas', 'upos': 'DET', 'xpos': 'QNT', 'feats': {'Gender': 'Fem', 'Number': 'Plur', 'PronType': 'Ind'}, 'head': 38, 'deprel': 'det', 'deps': None, 'misc': None}, {'id': 37, 'form': 'as', 'lemma': 'as', 'upos': 'DET', 'xpos': 'DA', 'feats': {'Definite': 'Def', 'Gender': 'Fem', 'Number': 'Plur', 'PronType': 'Art'}, 'head': 38, 'deprel': 'det', 'deps': None, 'misc': None}, {'id': 38, 'form': 'partes', 'lemma': 'parte', 'upos': 'NOUN', 'xpos': 'CN', 'feats': {'Gender': 'Fem', 'Number': 'Plur'}, 'head': 34, 'deprel': 'obl', 'deps': None, 'misc': None}]	4	1	3	True	False	False	0.014512008625791	SV-#	por	SG	PL	VS	aux	+
Em 1984 , é nomeado escritor residente em_ o Royal Court Theatre .	nomeado	4	é	3.0	escritor	5	{'Gender': 'Masc', 'Number': 'Sing', 'lemma': 'escritor'}	NOUN	é	3	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'ser', 'Gender': 'Masc'}	AUX	-2	[]	{'sent_id': '6246', 'text': 'Em 1984 , é nomeado escritor residente no Royal Court Theatre .', 'treebank': 'UD_Portuguese-CINTIL/pt_cintil-ud-train.conllu'}	são	SG -> PL	Em 1984 ,	Em 1984 , são nomeado escritor residente em_ o Royal Court Theatre .	[]	[]	0	0	0	False	False	False	0.0043385382189216	SV-#	por	SG	PL	VS	aux	+
O fluido retorna então para os tanques de armazenamento onde, em geral, é feita uma correção em sua formulação, principalmente quando tiver ocorrido perda de componentes para a formação.	ocorrido	25	tiver	24.0	perda	26	{'Gender': 'Fem', 'Number': 'Sing', 'lemma': 'perda'}	NOUN	tiver	24	{'Mood': 'Sub', 'Number': 'Sing', 'Person': '3', 'Tense': 'Fut', 'VerbForm': 'Fin', 'lemma': 'ter', 'Gender': 'Fem'}	AUX	-2	[]	{'text': 'O fluido retorna então para os tanques de armazenamento onde, em geral, é feita uma correção em sua formulação, principalmente quando tiver ocorrido perda de componentes para a formação.', 'sent_id': '24-20150122-MONOGRAFIA_0-48', 'treebank': 'UD_Portuguese-PetroGold/pt_petrogold-ud-train.conllu'}	tiverem	SG -> PL	O fluido retorna então para os tanques de armazenamento onde, em geral, é feita uma correção em sua formulação, principalmente quando	O fluido retorna então para os tanques de armazenamento onde, em geral, é feita uma correção em sua formulação, principalmente quando tiverem ocorrido perda de componentes para a formação.	[]	[]	0	0	0	False	False	False	0.0737551497216674	SV-#	por	SG	PL	VS	aux	+
Mas , por_ a leitura de_ a nota , depreende -se que o ministro Sousa Franco optou por_ a exoneração , já que se afirma que ' Diamantino Marques substitui em_ o cargo José Braz , a quem hoje [ ontem ] também foi comunicada por_ o secretário de Estado Teixeira de_ os Santos esta decisão ' .	comunicada	44	foi	43.0	decisão	55	{'Gender': 'Fem', 'Number': 'Sing', 'lemma': 'decisão'}	NOUN	foi	43	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin', 'lemma': 'ser', 'Gender': 'Fem'}	AUX	-12	[{'id': 45, 'form': 'comunicada', 'lemma': 'comunicar,comunicado', 'upos': 'VERB', 'xpos': 'PPA', 'feats': {'Gender': 'Fem', 'Number': 'Sing', 'VerbForm': 'Part'}, 'head': 34, 'deprel': 'amod', 'deps': None, 'misc': None}, {'id': 47, 'form': 'o', 'lemma': 'o', 'upos': 'DET', 'xpos': 'DA', 'feats': {'Definite': 'Def', 'Gender': 'Masc', 'Number': 'Sing', 'PronType': 'Art'}, 'head': 48, 'deprel': 'det', 'deps': None, 'misc': None}, {'id': 48, 'form': 'secretário', 'lemma': 'secretário', 'upos': 'NOUN', 'xpos': 'CN', 'feats': {'Gender': 'Masc', 'Number': 'Sing'}, 'head': 45, 'deprel': 'obl', 'deps': None, 'misc': None}, {'id': 53, 'form': 'os', 'lemma': 'os', 'upos': 'DET', 'xpos': 'DA', 'feats': {'Definite': 'Def', 'Gender': 'Masc', 'Number': 'Plur', 'PronType': 'Art'}, 'head': 51, 'deprel': 'flat', 'deps': None, 'misc': None}]	"{'sent_id': '36375', 'text': ""Mas , pela leitura da nota , depreende-se que o ministro Sousa Franco optou pela exoneração , já que se afirma que ' Diamantino Marques substitui no cargo José Braz , a quem hoje [ ontem ] também foi comunicada pelo secretário de Estado Teixeira dos Santos esta decisão ' ."", 'treebank': 'UD_Portuguese-CINTIL/pt_cintil-ud-test.conllu'}"	foram	SG -> PL	Mas , por_ a leitura de_ a nota , depreende -se que o ministro Sousa Franco optou por_ a exoneração , já que se afirma que ' Diamantino Marques substitui em_ o cargo José Braz , a quem hoje [ ontem ] também	Mas , por_ a leitura de_ a nota , depreende -se que o ministro Sousa Franco optou por_ a exoneração , já que se afirma que ' Diamantino Marques substitui em_ o cargo José Braz , a quem hoje [ ontem ] também foram comunicada por_ o secretário de Estado Teixeira de_ os Santos esta decisão ' .	[{'id': 45, 'form': 'comunicada', 'lemma': 'comunicar,comunicado', 'upos': 'VERB', 'xpos': 'PPA', 'feats': {'Gender': 'Fem', 'Number': 'Sing', 'VerbForm': 'Part'}, 'head': 34, 'deprel': 'amod', 'deps': None, 'misc': None}, {'id': 47, 'form': 'o', 'lemma': 'o', 'upos': 'DET', 'xpos': 'DA', 'feats': {'Definite': 'Def', 'Gender': 'Masc', 'Number': 'Sing', 'PronType': 'Art'}, 'head': 48, 'deprel': 'det', 'deps': None, 'misc': None}, {'id': 48, 'form': 'secretário', 'lemma': 'secretário', 'upos': 'NOUN', 'xpos': 'CN', 'feats': {'Gender': 'Masc', 'Number': 'Sing'}, 'head': 45, 'deprel': 'obl', 'deps': None, 'misc': None}]	[{'id': 53, 'form': 'os', 'lemma': 'os', 'upos': 'DET', 'xpos': 'DA', 'feats': {'Definite': 'Def', 'Gender': 'Masc', 'Number': 'Plur', 'PronType': 'Art'}, 'head': 51, 'deprel': 'flat', 'deps': None, 'misc': None}]	4	3	1	True	False	False	0.0019349344834388	SV-#	por	SG	PL	VS	aux	+
Mesmo assim , a ministra de_ o Ambiente afirmou , em_ a semana passada , que estaria a ser estudado , conjuntamente com a Secretaria de Estado de_ as Obras Públicas , um traçado alternativo em_ este troço final de_ a variante - que não consta de_ o estudo de impacte ambiental .	estudado	19	estaria	16.0	traçado	33	{'Gender': 'Masc', 'Number': 'Sing', 'lemma': 'traçado'}	NOUN	estaria	16	{'Mood': 'Cnd', 'Number': 'Sing', 'Person': '3', 'VerbForm': 'Fin', 'lemma': 'estar', 'Gender': 'Masc'}	AUX	-17	[{'id': 20, 'form': 'estudado', 'lemma': 'estudar,estudado', 'upos': 'VERB', 'xpos': 'PPA', 'feats': {'Gender': 'Masc', 'Number': 'Sing', 'VerbForm': 'Part'}, 'head': 9, 'deprel': 'ccomp', 'deps': None, 'misc': None}, {'id': 24, 'form': 'a', 'lemma': 'a', 'upos': 'DET', 'xpos': 'DA', 'feats': {'Definite': 'Def', 'Gender': 'Fem', 'Number': 'Sing', 'PronType': 'Art'}, 'head': 25, 'deprel': 'det', 'deps': None, 'misc': None}, {'id': 29, 'form': 'as', 'lemma': 'as', 'upos': 'DET', 'xpos': 'DA', 'feats': {'Definite': 'Def', 'Gender': 'Fem', 'Number': 'Plur', 'PronType': 'Art'}, 'head': 25, 'deprel': 'flat', 'deps': None, 'misc': None}]	{'sent_id': '36741', 'text': 'Mesmo assim , a ministra do Ambiente afirmou , na semana passada , que estaria a ser estudado , conjuntamente com a Secretaria de Estado das Obras Públicas , um traçado alternativo neste troço final da variante - que não consta do estudo de impacte ambiental .', 'treebank': 'UD_Portuguese-CINTIL/pt_cintil-ud-test.conllu'}	estariam	SG -> PL	Mesmo assim , a ministra de_ o Ambiente afirmou , em_ a semana passada , que	Mesmo assim , a ministra de_ o Ambiente afirmou , em_ a semana passada , que estariam a ser estudado , conjuntamente com a Secretaria de Estado de_ as Obras Públicas , um traçado alternativo em_ este troço final de_ a variante - que não consta de_ o estudo de impacte ambiental .	[{'id': 20, 'form': 'estudado', 'lemma': 'estudar,estudado', 'upos': 'VERB', 'xpos': 'PPA', 'feats': {'Gender': 'Masc', 'Number': 'Sing', 'VerbForm': 'Part'}, 'head': 9, 'deprel': 'ccomp', 'deps': None, 'misc': None}, {'id': 24, 'form': 'a', 'lemma': 'a', 'upos': 'DET', 'xpos': 'DA', 'feats': {'Definite': 'Def', 'Gender': 'Fem', 'Number': 'Sing', 'PronType': 'Art'}, 'head': 25, 'deprel': 'det', 'deps': None, 'misc': None}]	[{'id': 29, 'form': 'as', 'lemma': 'as', 'upos': 'DET', 'xpos': 'DA', 'feats': {'Definite': 'Def', 'Gender': 'Fem', 'Number': 'Plur', 'PronType': 'Art'}, 'head': 25, 'deprel': 'flat', 'deps': None, 'misc': None}]	3	2	1	True	False	False	0.2612161552642387	SV-#	por	SG	PL	VS	aux	+
Esperada também , era a unanimidade de_ a Oposição quanto a_ o tratamento dado a_ as receitas .	Esperada	0	era	3.0	unanimidade	5	{'Gender': 'Fem', 'Number': 'Sing', 'lemma': 'unanimidade'}	NOUN	era	3	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Imp', 'VerbForm': 'Fin', 'lemma': 'ser', 'Gender': 'Fem'}	AUX	-2	[]	{'sent_id': '19426', 'text': 'Esperada também , era a unanimidade da Oposição quanto ao tratamento dado às receitas .', 'treebank': 'UD_Portuguese-CINTIL/pt_cintil-ud-train.conllu'}	eram	SG -> PL	Esperada também ,	Esperada também , eram a unanimidade de_ a Oposição quanto a_ o tratamento dado a_ as receitas .	[]	[]	0	0	0	False	False	False	0.0018438787430416	SV-#	por	SG	PL	VS	aux	+
