	sen	verb	verb_idx	cop	cop_idx	child	child_idx	child_features	child_upos	head	head_idx	head_features	head_upos	distance	attractors	metadata	swap_head	feature_vals	prefix	wrong_sen	congruent_attractors	incongruent_attractors	num_attractors	num_congruent_attractors	num_incongruent_attractors	has_attractors	only_has_congruent_attractors	only_has_incongruent_attractors	sample_weight	phenomenon	lang	grammatical_feature	ungrammatical_feature	wo	inflect_item	agreement_certainty	sen_prob	wrong_prob	sen_nll	wrong_nll	delta
0	Als de heren hier even willen wachten, dan zal ik de directeur waarschuwen.	waarschuwen	13	zal	9.0	ik	10	{'Case': 'Nom', 'Person': '1', 'PronType': 'Prs', 'lemma': 'ik'}	PRON	zal	9	{'Number': 'Sing', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'zullen', 'Person': '1'}	AUX	-1	[]	{'archive': 'nl_alpinodev-ud-train.collection', 'source': 'Treebank/eans/02_03_02_01_v.xml', 'sent_id': 'eans\\02_03_02_01_v', 'text': 'Als de heren hier even willen wachten, dan zal ik de directeur waarschuwen.', 'auto': 'ALUD2.12.3', 'treebank': 'UD_Dutch-Alpino/nl_alpino-ud-train.conllu'}	zult	1 -> 2	Als de heren hier even willen wachten, dan	Als de heren hier even willen wachten, dan zult ik de directeur waarschuwen.	[]	[]	0	0	0	False	False	False	0.0833333333333333	SV-P	nld	1	2	VS	aux	+	[-12.341741561889648, -5.518517971038818, -8.738693237304688, -3.247762680053711, -6.881386756896973, -12.248086929321289, -5.658091068267822, -6.6436920166015625, -0.3576335906982422, -0.7925863265991211, -3.295877456665039, -4.071274757385254, -1.49188232421875, -3.415782928466797, -11.805915832519531, -9.442593574523926, -2.2459917068481445, -0.011678695678710938, -2.2127065658569336, -4.995706558227539]	[-12.341741561889648, -5.518517971038818, -8.738693237304688, -3.247762680053711, -6.881386756896973, -12.248086929321289, -5.658091068267822, -6.6436920166015625, -0.3576335906982422, -0.7925863265991211, -3.295877456665039, -6.553584098815918, -1.6269779205322266, -4.752950668334961, -3.485015869140625, -11.938339233398438, -9.06036376953125, -1.8466625213623047, -0.02231597900390625, -2.243870735168457, -3.44417667388916]	105.4176025390625	110.69832611083984	5.280723571777344
1	"Volgens mevrouw-hier zou ik andere grond krijgen, maar daar heb ik verder nooit meer iets over gehoord. """	gehoord	17	heb	10.0	ik	11	{'Case': 'Nom', 'Person': '1', 'PronType': 'Prs', 'lemma': 'ik'}	PRON	heb	10	{'Number': 'Sing', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'hebben', 'Person': '1'}	AUX	-1	[]	"{'archive': 'nl_alpinodev-ud-train.collection', 'source': 'Treebank/cdb/530.xml', 'sent_id': 'cdb\\530', 'text': 'Volgens mevrouw-hier zou ik andere grond krijgen, maar daar heb ik verder nooit meer iets over gehoord. ""', 'auto': 'ALUD2.12.3', 'treebank': 'UD_Dutch-Alpino/nl_alpino-ud-train.conllu'}"	hebt	1 -> 2	Volgens mevrouw-hier zou ik andere grond krijgen, maar daar	"Volgens mevrouw-hier zou ik andere grond krijgen, maar daar hebt ik verder nooit meer iets over gehoord. """	[]	[]	0	0	0	False	False	False	0.0124999999999999	SV-P	nld	1	2	VS	aux	+	[-8.7138032913208, -8.845659255981445, -11.926774978637695, -0.019207000732421875, -6.004311561584473, -8.040534019470215, -6.81857442855835, -0.6571664810180664, -8.183171272277832, -10.980072021484375, -13.512582778930664, -1.9228391647338867, -1.5134143829345703, -4.275347709655762, -2.856273651123047, -0.0430755615234375, -7.68955659866333, -4.627178192138672, -3.5428285598754883, -5.743838310241699, -2.472966194152832, -5.673598289489746, -1.7050113677978516, -0.36267662048339844, -0.6142702102661133, -6.052182674407959]	[-8.7138032913208, -8.845659255981445, -11.926774978637695, -0.019207000732421875, -6.004311561584473, -8.040534019470215, -6.81857442855835, -0.6571664810180664, -8.183171272277832, -10.980072021484375, -13.512582778930664, -1.9228391647338867, -1.5134143829345703, -4.275347709655762, -8.522775650024414, -0.2840862274169922, -7.254192352294922, -5.329633712768555, -2.7349653244018555, -5.581450462341309, -2.531705856323242, -6.048355579376221, -1.7530193328857422, -0.3596019744873047, -0.6312198638916016, -6.167903423309326]	132.7969207763672	138.61236572265625	5.8154449462890625
2	omdat je het vraagt, zal ik het je zeggen.	zeggen	9	zal	5.0	ik	6	{'Case': 'Nom', 'Person': '1', 'PronType': 'Prs', 'lemma': 'ik'}	PRON	zal	5	{'Number': 'Sing', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'zullen', 'Person': '1'}	AUX	-1	[]	{'archive': 'nl_alpinodev-ud-train.collection', 'source': 'Treebank/cgn_exs/156.xml', 'sent_id': 'cgn_exs\\156', 'text': 'omdat je het vraagt, zal ik het je zeggen.', 'auto': 'ALUD2.12.3', 'treebank': 'UD_Dutch-Alpino/nl_alpino-ud-train.conllu'}	zult	1 -> 2	omdat je het vraagt,	omdat je het vraagt, zult ik het je zeggen.	[]	[]	0	0	0	False	False	False	0.0833333333333333	SV-P	nld	1	2	VS	aux	+	[-10.969645500183105, -10.116720199584961, -4.110674858093262, -4.249179840087891, -8.607242584228516, -0.5140037536621094, -2.676259994506836, -5.120786666870117, -2.9685754776000977, -2.8098087310791016, -5.624061584472656, -5.638080596923828, -1.6510200500488281]	[-10.969645500183105, -10.116720199584961, -4.110674858093262, -4.249179840087891, -8.607242584228516, -0.5140037536621094, -2.676259994506836, -5.609587669372559, -2.385486602783203, -4.373472213745117, -2.910816192626953, -6.261704444885254, -6.45649528503418, -1.4460439682006836]	65.05606079101562	70.68733215332031	5.6312713623046875
3	Ook zal ik de komende zomer weer gewoon de fiets beklimmen.	beklimmen	10	zal	1.0	ik	2	{'Case': 'Nom', 'Person': '1', 'PronType': 'Prs', 'lemma': 'ik'}	PRON	zal	1	{'Number': 'Sing', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'zullen', 'Person': '1'}	AUX	-1	[]	{'archive': 'nl_alpinodev-ud-train.collection', 'source': 'Treebank/cdb/697.xml', 'sent_id': 'cdb\\697', 'text': 'Ook zal ik de komende zomer weer gewoon de fiets beklimmen.', 'auto': 'ALUD2.12.3', 'treebank': 'UD_Dutch-Alpino/nl_alpino-ud-train.conllu'}	zult	1 -> 2	Ook	Ook zult ik de komende zomer weer gewoon de fiets beklimmen.	[]	[]	0	0	0	False	False	False	0.0833333333333333	SV-P	nld	1	2	VS	aux	+	[-13.411420822143555, -6.746703624725342, -1.5868263244628906, -4.2822723388671875, -6.788480758666992, -0.4109039306640625, -7.719282150268555, -2.9913330078125, -6.596726417541504, -5.735478401184082, -6.8025994300842285, -6.3460493087768555, -4.346967697143555, -0.2661323547363281, -1.0119085311889648]	[-13.411420822143555, -10.069169998168945, -1.9786186218261719, -5.281064987182617, -3.008392333984375, -6.475183486938477, -0.47265148162841797, -7.073002815246582, -3.272589683532715, -6.317562103271484, -4.975141525268555, -7.422153472900391, -7.059001922607422, -3.488971710205078, -0.42350006103515625, -1.3296756744384766]	75.04308319091797	82.05810546875	7.015022277832031
4	""" Voor de wedstrijd heb ik mijn spelers attent gemaakt op de conditie van de Polen."	gemaakt	9	heb	4.0	ik	5	{'Case': 'Nom', 'Person': '1', 'PronType': 'Prs', 'lemma': 'ik'}	PRON	heb	4	{'Number': 'Sing', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'hebben', 'Person': '1'}	AUX	-1	[]	"{'archive': 'nl_alpinodev-ud-train.collection', 'source': 'Treebank/cdb/2606.xml', 'sent_id': 'cdb\\2606', 'text': '"" Voor de wedstrijd heb ik mijn spelers attent gemaakt op de conditie van de Polen.', 'auto': 'ALUD2.12.3', 'treebank': 'UD_Dutch-Alpino/nl_alpino-ud-train.conllu'}"	hebt	1 -> 2	""" Voor de wedstrijd"	""" Voor de wedstrijd hebt ik mijn spelers attent gemaakt op de conditie van de Polen."	[]	[]	0	0	0	False	False	False	0.0124999999999999	SV-P	nld	1	2	VS	aux	+	[-5.195631504058838, -17.503032684326172, -2.251392364501953, -10.339397430419922, -4.445953369140625, -0.2406635284423828, -4.278571128845215, -8.425985336303711, -1.0202264785766602, -11.520710945129395, -12.850606918334961, -4.458627700805664, -1.4069490432739258, -13.093177795410156, -0.23788928985595703, -1.6559972763061523, -0.8533716201782227, -11.107759475708008, -3.1048545837402344]	[-5.195631504058838, -17.503032684326172, -2.251392364501953, -10.339397430419922, -8.214290618896484, -2.0460586547851562, -3.773160934448242, -7.672184467315674, -0.8935098648071289, -11.624067306518555, -12.506977081298828, -4.674542427062988, -1.3852958679199219, -12.971365928649902, -0.21538734436035156, -1.9035720825195312, -0.9114055633544922, -11.05045223236084, -3.298646926879883]	113.99079895019531	118.43037414550781	4.4395751953125
5	De smokkelhandel teelde hier welig en verder in dit boek zal ik daar nog vaker op terugkomen.	terugkomen	16	zal	10.0	ik	11	{'Case': 'Nom', 'Person': '1', 'PronType': 'Prs', 'lemma': 'ik'}	PRON	zal	10	{'Number': 'Sing', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'zullen', 'Person': '1'}	AUX	-1	[]	{'archive': 'WR-P-E-I-train.collection', 'source': 'LassyDevelop/WR-P-E-I-0000050381/WR-P-E-I-0000050381.p.1.s.170.xml', 'sent_id': 'WR-P-E-I-0000050381.p.1.s.170', 'text': 'De smokkelhandel teelde hier welig en verder in dit boek zal ik daar nog vaker op terugkomen.', 'auto': 'ALUD2.13.0', 'treebank': 'UD_Dutch-LassySmall/nl_lassysmall-ud-train.conllu'}	zult	1 -> 2	De smokkelhandel teelde hier welig en verder in dit boek	De smokkelhandel teelde hier welig en verder in dit boek zult ik daar nog vaker op terugkomen.	[]	[]	0	0	0	False	False	False	0.0833333333333333	SV-P	nld	1	2	VS	aux	+	[-7.93869686126709, -15.358978271484375, -7.0138983726501465, -10.005395889282227, -6.388373374938965, -12.547237396240234, -6.317168712615967, -6.419654846191406, -9.436283111572266, -3.5883216857910156, -6.197103977203369, -3.553417205810547, -4.275826454162598, -4.33140754699707, -6.7274017333984375, -5.182900428771973, -5.406267166137695, -4.7543487548828125, -6.707406520843506, -1.1488361358642578, -4.2337446212768555, -6.633392333984375, -2.969149589538574, -0.7924079895019531]	[-7.93869686126709, -15.358978271484375, -7.0138983726501465, -10.005395889282227, -6.388373374938965, -12.547237396240234, -6.317168712615967, -6.419654846191406, -9.436283111572266, -3.5883216857910156, -6.197103977203369, -3.553417205810547, -4.275826454162598, -4.33140754699707, -7.837080955505371, -2.848806381225586, -6.778038024902344, -5.284756660461426, -4.107427597045898, -6.664331912994385, -1.1205949783325195, -3.679971694946289, -5.311424255371094, -3.1593923568725586, -0.7014226913452148]	147.9276123046875	150.86500549316406	2.9373931884765625
6	Natuurlijk, wanneer zich dit seizoen al een kans voordoet om mee te knokken om de titel, zal ik mijn uiterste best doen om die te grijpen.	doen	23	zal	18.0	ik	19	{'Case': 'Nom', 'Person': '1', 'PronType': 'Prs', 'lemma': 'ik'}	PRON	zal	18	{'Number': 'Sing', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'zullen', 'Person': '1'}	AUX	-1	[]	{'archive': 'nl_alpinodev-ud-train.collection', 'source': 'Treebank/cdb/3934.xml', 'sent_id': 'cdb\\3934', 'text': 'Natuurlijk, wanneer zich dit seizoen al een kans voordoet om mee te knokken om de titel, zal ik mijn uiterste best doen om die te grijpen.', 'auto': 'ALUD2.12.3', 'treebank': 'UD_Dutch-Alpino/nl_alpino-ud-train.conllu'}	zult	1 -> 2	Natuurlijk, wanneer zich dit seizoen al een kans voordoet om mee te knokken om de titel,	Natuurlijk, wanneer zich dit seizoen al een kans voordoet om mee te knokken om de titel, zult ik mijn uiterste best doen om die te grijpen.	[]	[]	0	0	0	False	False	False	0.0833333333333333	SV-P	nld	1	2	VS	aux	+	[-6.434340476989746, -11.298317909240723, -0.7764968872070312, -2.826287269592285, -5.704744338989258, -8.643082618713379, -5.332411766052246, -8.80965805053711, -6.3213276863098145, -3.4565486907958984, -6.133890628814697, -7.074675559997559, -5.194151878356934, -0.3912200927734375, -1.590545654296875, -5.016077041625977, -0.4023246765136719, -8.221855163574219, -5.359285354614258, -0.2398223876953125, -3.6148366928100586, -2.4690675735473633, -7.889607906341553, -4.243017196655273, -3.2843446731567383, -2.8602657318115234, -5.366727828979492, -7.897110939025879, -0.5274982452392578, -2.336573600769043, -5.919376850128174, -2.8266258239746094, -1.8324403762817383, -5.456916809082031, -5.7406439781188965, -12.456703186035156, -0.36942291259765625, -0.957249641418457]	[-6.434340476989746, -11.298317909240723, -0.7764968872070312, -2.826287269592285, -5.704744338989258, -8.643082618713379, -5.332411766052246, -8.80965805053711, -6.3213276863098145, -3.4565486907958984, -6.133890628814697, -7.074675559997559, -5.194151878356934, -0.3912200927734375, -1.590545654296875, -5.016077041625977, -0.4023246765136719, -8.221855163574219, -5.359285354614258, -0.2398223876953125, -3.6148366928100586, -2.4690675735473633, -7.889607906341553, -4.243017196655273, -5.798277854919434, -1.2347354888916016, -4.048039436340332, -4.665963172912598, -7.721953392028809, -0.6393537521362305, -2.398256301879883, -5.560559272766113, -2.5386037826538086, -2.3319454193115234, -5.330367088317871, -4.740782737731934, -12.435144424438477, -0.41355133056640625, -0.7409610748291016]	175.27549743652344	178.04208374023438	2.7665863037109375
7	Een dag voor de wedstrijden, trouwens dat heb ik je al verteld, vroor het nog dat het kraakte;	verteld	12	heb	8.0	ik	9	{'Case': 'Nom', 'Person': '1', 'PronType': 'Prs', 'lemma': 'ik'}	PRON	heb	8	{'Number': 'Sing', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'hebben', 'Person': '1'}	AUX	-1	[]	{'archive': 'nl_alpinodev-ud-train.collection', 'source': 'Treebank/cdb/3522.xml', 'sent_id': 'cdb\\3522', 'text': 'Een dag voor de wedstrijden, trouwens dat heb ik je al verteld, vroor het nog dat het kraakte;', 'auto': 'ALUD2.12.3', 'treebank': 'UD_Dutch-Alpino/nl_alpino-ud-train.conllu'}	hebt	1 -> 2	Een dag voor de wedstrijden, trouwens dat	Een dag voor de wedstrijden, trouwens dat hebt ik je al verteld, vroor het nog dat het kraakte;	[]	[]	0	0	0	False	False	False	0.0124999999999999	SV-P	nld	1	2	VS	aux	+	[-13.17781925201416, -6.446390628814697, -3.2552690505981445, -1.9245662689208984, -11.46248722076416, -0.5554580688476562, -2.86069393157959, -8.563089370727539, -1.9372186660766602, -4.187928199768066, -7.498579025268555, -0.6249933242797852, -5.6149797439575195, -3.8307151794433594, -7.6662278175354, -0.8674783706665039, -2.8021717071533203, -10.786456108093262, -9.386209487915039, -3.191823959350586, -4.950944900512695, -5.433145523071289, -3.2446022033691406, -11.04191780090332, -4.82126522064209, -7.766064167022705]	[-13.17781925201416, -6.446390628814697, -3.2552690505981445, -1.9245662689208984, -11.46248722076416, -0.5554580688476562, -2.86069393157959, -8.563089370727539, -1.9372186660766602, -4.187928199768066, -11.278806686401367, -2.968367576599121, -5.342113494873047, -3.9857425689697266, -8.02359390258789, -0.8749217987060547, -2.72845458984375, -10.687433242797852, -9.296499252319336, -3.2842025756835938, -5.169231414794922, -5.379456520080566, -3.48923397064209, -11.036672592163086, -4.858153343200684, -7.901484489440918]	143.89849853515625	150.67529296875	6.77679443359375
8	In de afgelopen twee weken heb ik 1200 kilometer getraind, heel veel achter een scooter om snelheid te krijgen. ''	getraind	9	heb	5.0	ik	6	{'Case': 'Nom', 'Person': '1', 'PronType': 'Prs', 'lemma': 'ik'}	PRON	heb	5	{'Number': 'Sing', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'hebben', 'Person': '1'}	AUX	-1	[]	"{'archive': 'nl_alpinodev-ud-dev.collection', 'source': 'LassyDevelop/WR-P-P-H-0000000025/WR-P-P-H-0000000025.p.10.s.4.xml', 'sent_id': 'WR-P-P-H-0000000025\\WR-P-P-H-0000000025.p.10.s.4', 'text': ""In de afgelopen twee weken heb ik 1200 kilometer getraind, heel veel achter een scooter om snelheid te krijgen. ''"", 'auto': 'ALUD2.12.3', 'treebank': 'UD_Dutch-Alpino/nl_alpino-ud-dev.conllu'}"	hebt	1 -> 2	In de afgelopen twee weken	In de afgelopen twee weken hebt ik 1200 kilometer getraind, heel veel achter een scooter om snelheid te krijgen. ''	[]	[]	0	0	0	False	False	False	0.0124999999999999	SV-P	nld	1	2	VS	aux	+	[-4.589855194091797, -10.476139068603516, -4.83880615234375, -2.9467649459838867, -1.1441679000854492, -3.753875732421875, -0.09370231628417969, -4.0655927658081055, -1.6749801635742188, -2.4648561477661133, -3.0411081314086914, -1.9022493362426758, -5.252278804779053, -6.799912452697754, -3.104424476623535, -0.4831714630126953, -2.225564956665039, -5.136166572570801, -2.84517765045166, -6.038715839385986, -4.405808448791504, -8.280244827270508, -6.144723892211914, -13.113157272338867, -0.23007488250732422, -3.8496627807617188, -0.6081533432006836, -12.08523941040039]	[-4.589855194091797, -10.476139068603516, -4.83880615234375, -2.9467649459838867, -1.1441679000854492, -6.769387245178223, -3.093754768371582, -4.878301620483398, -1.5397930145263672, -2.4125404357910156, -2.9336795806884766, -1.7340593338012695, -5.186917781829834, -7.317551612854004, -3.120408058166504, -0.4265117645263672, -2.219080924987793, -5.352032661437988, -2.583911895751953, -6.137249946594238, -4.150435447692871, -8.345687866210938, -6.152426242828369, -13.090764999389648, -0.2208423614501953, -3.7870092391967773, -0.5956087112426758, -11.977999687194824]	121.59457397460938	128.02169799804688	6.4271240234375
9	Dat heb ik zo kunnen zien, Maar ja, jullie hebben natuurlijk een aantrekkelijker systeem.	zien	5	heb	1.0	ik	2	{'Case': 'Nom', 'Person': '1', 'PronType': 'Prs', 'lemma': 'ik'}	PRON	heb	1	{'Number': 'Sing', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'hebben', 'Person': '1'}	AUX	-1	[]	{'archive': 'nl_alpinodev-ud-train.collection', 'source': 'Treebank/cdb/3564.xml', 'sent_id': 'cdb\\3564', 'text': 'Dat heb ik zo kunnen zien, Maar ja, jullie hebben natuurlijk een aantrekkelijker systeem.', 'auto': 'ALUD2.12.3', 'treebank': 'UD_Dutch-Alpino/nl_alpino-ud-train.conllu'}	hebt	1 -> 2	Dat	Dat hebt ik zo kunnen zien, Maar ja, jullie hebben natuurlijk een aantrekkelijker systeem.	[]	[]	0	0	0	False	False	False	0.0124999999999999	SV-P	nld	1	2	VS	aux	+	[-10.56212043762207, -16.09935760498047, -1.3344907760620117, -5.457703590393066, -8.25682258605957, -3.833415985107422, -2.276791572570801, -9.552267074584961, -6.906480312347412, -0.7422885894775391, -8.040102005004883, -2.510218620300293, -5.8729753494262695, -2.4679222106933594, -7.92894983291626, -0.10909843444824219, -6.6244916915893555, -1.4293832778930664, -8.244884490966797, -2.008699417114258]	[-10.56212043762207, -19.143444061279297, -4.816819190979004, -4.7618255615234375, -7.344388961791992, -4.927762985229492, -2.5490617752075195, -9.842578887939453, -6.936483383178711, -0.7646236419677734, -8.055235862731934, -2.4027299880981445, -5.703273773193359, -2.505270004272461, -7.769129276275635, -0.10581016540527344, -6.625897407531738, -1.3372373580932617, -8.205491065979004, -1.9390621185302734]	110.25846099853516	116.29824829101562	6.039787292480469
