sen	verb	verb_idx	cop	cop_idx	child	child_idx	child_features	child_upos	head	head_idx	head_features	head_upos	distance	attractors	metadata	swap_head	feature_vals	prefix	wrong_sen	congruent_attractors	incongruent_attractors	num_attractors	num_congruent_attractors	num_incongruent_attractors	has_attractors	only_has_congruent_attractors	only_has_incongruent_attractors	sample_weight	phenomenon	lang	grammatical_feature	ungrammatical_feature	wo	inflect_item	agreement_certainty
Мы, как представители чехословацкого войска, на долю которого в настоящее время выпадает главная тяжесть борьбы с большевиками, сожалеем о том, что в тылу действующей армии силами, которые нужны на фронте, устраиваются насильственные перевороты.	сожалеем	20			Мы	0	{'Case': 'Nom', 'Number': 'Plur', 'Person': '1', 'PronType': 'Prs', 'lemma': 'мы'}	PRON	сожалеем	20	{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act', 'lemma': 'сожалеть'}	VERB	20	[{'id': 14, 'form': 'выпадает', 'lemma': 'выпадать', 'upos': 'VERB', 'xpos': None, 'feats': {'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act', 'lemma': 'выпадать', 'Gender': 'Fem'}, 'head': 6, 'deprel': 'acl:relcl', 'deps': [('acl:relcl', 6)], 'misc': None}]	{'sent_id': '2012Kolchak.xml_197', 'text': 'Мы, как представители чехословацкого войска, на долю которого в настоящее время выпадает главная тяжесть борьбы с большевиками, сожалеем о том, что в тылу действующей армии силами, которые нужны на фронте, устраиваются насильственные перевороты.', 'treebank': 'UD_Russian-SynTagRus/ru_syntagrus-ud-test.conllu'}	сожалеют	1 -> 3	Мы, как представители чехословацкого войска, на долю которого в настоящее время выпадает главная тяжесть борьбы с большевиками,	Мы, как представители чехословацкого войска, на долю которого в настоящее время выпадает главная тяжесть борьбы с большевиками, сожалеют о том, что в тылу действующей армии силами, которые нужны на фронте, устраиваются насильственные перевороты.	[]	[{'id': 14, 'form': 'выпадает', 'lemma': 'выпадать', 'upos': 'VERB', 'xpos': None, 'feats': {'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act', 'lemma': 'выпадать', 'Gender': 'Fem'}, 'head': 6, 'deprel': 'acl:relcl', 'deps': [('acl:relcl', 6)], 'misc': None}]	1	0	1	True	False	True	0.8276174081563368	SV-P	rus	1	3	SV	verb	+
В противном случае я вам этого не гарантирую.	гарантирую	7			я	3	{'Case': 'Nom', 'Number': 'Sing', 'Person': '1', 'lemma': 'я'}	PRON	гарантирую	7	{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act', 'lemma': 'гарантировать'}	VERB	4	[{'id': 5, 'form': 'вам', 'lemma': 'вы', 'upos': 'PRON', 'xpos': None, 'feats': {'Case': 'Dat', 'Number': 'Plur', 'Person': '2'}, 'head': 8, 'deprel': 'iobj', 'deps': [('iobj', 8)], 'misc': None}]	{'sent_id': '2020_Corpus2_0Pisma_schastiya.xml_112', 'genre': 'fiction', 'text': 'В противном случае я вам этого не гарантирую.', 'treebank': 'UD_Russian-SynTagRus/ru_syntagrus-ud-train.conllu'}	гарантирует	1 -> 3	В противном случае я вам этого не	В противном случае я вам этого не гарантирует.	[]	[{'id': 5, 'form': 'вам', 'lemma': 'вы', 'upos': 'PRON', 'xpos': None, 'feats': {'Case': 'Dat', 'Number': 'Plur', 'Person': '2'}, 'head': 8, 'deprel': 'iobj', 'deps': [('iobj', 8)], 'misc': None}]	1	0	1	True	False	True	0.001884842958534	SV-P	rus	1	3	SV	verb	+
Я, думалось мне, являюсь типичным представителем научной среды.	являюсь	5			Я	0	{'Case': 'Nom', 'Number': 'Sing', 'Person': '1', 'lemma': 'я'}	PRON	являюсь	5	{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Mid', 'lemma': 'являться'}	VERB	5	[{'id': 4, 'form': 'мне', 'lemma': 'я', 'upos': 'PRON', 'xpos': None, 'feats': {'Case': 'Dat', 'Number': 'Sing', 'Person': '1'}, 'head': 3, 'deprel': 'iobj', 'deps': [('iobj', 3)], 'misc': {'SpaceAfter': 'No'}}]	{'sent_id': '2020_RFFIInstrument_yazyka_1.xml_190', 'genre': 'fiction', 'text': 'Я, думалось мне, являюсь типичным представителем научной среды.', 'treebank': 'UD_Russian-SynTagRus/ru_syntagrus-ud-dev.conllu'}	является	1 -> 3	Я, думалось мне,	Я, думалось мне, является типичным представителем научной среды.	[{'id': 4, 'form': 'мне', 'lemma': 'я', 'upos': 'PRON', 'xpos': None, 'feats': {'Case': 'Dat', 'Number': 'Sing', 'Person': '1'}, 'head': 3, 'deprel': 'iobj', 'deps': [('iobj', 3)], 'misc': {'SpaceAfter': 'No'}}]	[]	1	1	0	True	True	False	0.0401064984322448	SV-P	rus	1	3	SV	verb	+
Но по большому счету это наша идея, и мы ее, разумеется, поддерживаем.	поддерживаем	14			мы	9	{'Case': 'Nom', 'Number': 'Plur', 'Person': '1', 'PronType': 'Prs', 'lemma': 'мы'}	PRON	поддерживаем	14	{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act', 'lemma': 'поддерживать'}	VERB	5	[{'id': 11, 'form': 'ее', 'lemma': 'она', 'upos': 'PRON', 'xpos': None, 'feats': {'Case': 'Acc', 'Gender': 'Fem', 'Number': 'Sing', 'Person': '3', 'PronType': 'Prs'}, 'head': 15, 'deprel': 'obj', 'deps': [('obj', 15)], 'misc': {'SpaceAfter': 'No'}}]	{'sent_id': '2003Shok_bez_trepeta.xml_154', 'text': 'Но по большому счету это наша идея, и мы ее, разумеется, поддерживаем.', 'treebank': 'UD_Russian-SynTagRus/ru_syntagrus-ud-train.conllu'}	поддерживают	1 -> 3	Но по большому счету это наша идея, и мы ее, разумеется,	Но по большому счету это наша идея, и мы ее, разумеется, поддерживают.	[]	[{'id': 11, 'form': 'ее', 'lemma': 'она', 'upos': 'PRON', 'xpos': None, 'feats': {'Case': 'Acc', 'Gender': 'Fem', 'Number': 'Sing', 'Person': '3', 'PronType': 'Prs'}, 'head': 15, 'deprel': 'obj', 'deps': [('obj', 15)], 'misc': {'SpaceAfter': 'No'}}]	1	0	1	True	False	True	0.0006779139735254	SV-P	rus	1	3	SV	verb	+
Я тут, поверьте, и Питер и Петрозаводск для себя по-новому открываю!	открываю	12			Я	0	{'Case': 'Nom', 'Number': 'Sing', 'Person': '1', 'PronType': 'Prs', 'lemma': 'я'}	PRON	открываю	12	{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act', 'lemma': 'открывать'}	VERB	12	[{'id': 4, 'form': 'поверьте', 'lemma': 'поверить', 'upos': 'VERB', 'xpos': None, 'feats': {'Aspect': 'Perf', 'Mood': 'Imp', 'Number': 'Plur', 'Person': '2', 'VerbForm': 'Fin', 'Voice': 'Act'}, 'head': 13, 'deprel': 'parataxis', 'deps': None, 'misc': {'SpaceAfter': 'No'}}]	{'sent_id': 'GramEval2020-test-social-66', 'genre': 'social', 'text': 'Я тут, поверьте, и Питер и Петрозаводск для себя по-новому открываю!', 'treebank': 'UD_Russian-Taiga/ru_taiga-ud-train.conllu'}	открывает	1 -> 3	Я тут, поверьте, и Питер и Петрозаводск для себя по-новому	Я тут, поверьте, и Питер и Петрозаводск для себя по-новому открывает!	[]	[{'id': 4, 'form': 'поверьте', 'lemma': 'поверить', 'upos': 'VERB', 'xpos': None, 'feats': {'Aspect': 'Perf', 'Mood': 'Imp', 'Number': 'Plur', 'Person': '2', 'VerbForm': 'Fin', 'Voice': 'Act'}, 'head': 13, 'deprel': 'parataxis', 'deps': None, 'misc': {'SpaceAfter': 'No'}}]	1	0	1	True	False	True	0.0449569950109614	SV-P	rus	1	3	SV	verb	+
"Он сказал: ""Я с вами, Ваше Величество, встречаюсь второй раз""."	встречаюсь	11			Я	4	{'Case': 'Nom', 'Number': 'Sing', 'Person': '1', 'PronType': 'Prs', 'lemma': 'я'}	PRON	встречаюсь	11	{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Mid', 'lemma': 'встречаться'}	VERB	7	[{'id': 7, 'form': 'вами', 'lemma': 'вы', 'upos': 'PRON', 'xpos': None, 'feats': {'Case': 'Ins', 'Number': 'Plur', 'Person': '2', 'PronType': 'Prs'}, 'head': 12, 'deprel': 'obl', 'deps': [('obl:с:ins', 12)], 'misc': {'SpaceAfter': 'No'}}]	"{'sent_id': '2014Na_dvukh_voinakh_1.xml_351', 'text': 'Он сказал: ""Я с вами, Ваше Величество, встречаюсь второй раз"".', 'treebank': 'UD_Russian-SynTagRus/ru_syntagrus-ud-train.conllu'}"	встречается	1 -> 3	"Он сказал: ""Я с вами, Ваше Величество,"	"Он сказал: ""Я с вами, Ваше Величество, встречается второй раз""."	[]	[{'id': 7, 'form': 'вами', 'lemma': 'вы', 'upos': 'PRON', 'xpos': None, 'feats': {'Case': 'Ins', 'Number': 'Plur', 'Person': '2', 'PronType': 'Prs'}, 'head': 12, 'deprel': 'obl', 'deps': [('obl:с:ins', 12)], 'misc': {'SpaceAfter': 'No'}}]	1	0	1	True	False	True	0.0168588731291105	SV-P	rus	1	3	SV	verb	+
"Давление тех, кто говорит о том, что ""любой ценой"", ""откройте закрома родины, мы вам сейчас тут устроим такие замечательные проекты, что вы увидите, как мы унизим Запад"", - в нынешних условиях растет."	устроим	23			мы	19	{'Case': 'Nom', 'Number': 'Plur', 'Person': '1', 'lemma': 'мы'}	PRON	устроим	23	{'Aspect': 'Perf', 'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Fut', 'VerbForm': 'Fin', 'Voice': 'Act', 'lemma': 'устроить'}	VERB	4	[{'id': 21, 'form': 'вам', 'lemma': 'вы', 'upos': 'PRON', 'xpos': None, 'feats': {'Case': 'Dat', 'Number': 'Plur', 'Person': '2'}, 'head': 24, 'deprel': 'iobj', 'deps': [('iobj', 24)], 'misc': None}]	"{'sent_id': '2015Interviyu_Yurgensa.xml_97', 'genre': 'journalism', 'text': 'Давление тех, кто говорит о том, что ""любой ценой"", ""откройте закрома родины, мы вам сейчас тут устроим такие замечательные проекты, что вы увидите, как мы унизим Запад"", - в нынешних условиях растет.', 'treebank': 'UD_Russian-SynTagRus/ru_syntagrus-ud-train.conllu'}"	устроят	1 -> 3	"Давление тех, кто говорит о том, что ""любой ценой"", ""откройте закрома родины, мы вам сейчас тут"	"Давление тех, кто говорит о том, что ""любой ценой"", ""откройте закрома родины, мы вам сейчас тут устроят такие замечательные проекты, что вы увидите, как мы унизим Запад"", - в нынешних условиях растет."	[]	[{'id': 21, 'form': 'вам', 'lemma': 'вы', 'upos': 'PRON', 'xpos': None, 'feats': {'Case': 'Dat', 'Number': 'Plur', 'Person': '2'}, 'head': 24, 'deprel': 'iobj', 'deps': [('iobj', 24)], 'misc': None}]	1	0	1	True	False	True	0.0006779139735254	SV-P	rus	1	3	SV	verb	+
Все, кто не с нами, остаются при своем мнении (но мы, разумеется, их все равно ждем и будем им рады), а нам, извините, пора делами заниматься.	ждем	20			мы	13	{'Case': 'Nom', 'Number': 'Plur', 'Person': '1', 'PronType': 'Prs', 'lemma': 'мы'}	PRON	ждем	20	{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act', 'lemma': 'ждать'}	VERB	7	[{'id': 18, 'form': 'их', 'lemma': 'они', 'upos': 'PRON', 'xpos': None, 'feats': {'Case': 'Gen', 'Number': 'Plur', 'Person': '3', 'PronType': 'Prs'}, 'head': 21, 'deprel': 'obl', 'deps': [('obl:gen', 21)], 'misc': None}]	{'sent_id': '2009Natsionalnaya_assambleya.xml_6', 'text': 'Все, кто не с нами, остаются при своем мнении (но мы, разумеется, их все равно ждем и будем им рады), а нам, извините, пора делами заниматься.', 'treebank': 'UD_Russian-SynTagRus/ru_syntagrus-ud-train.conllu'}	ждут	1 -> 3	Все, кто не с нами, остаются при своем мнении (но мы, разумеется, их все равно	Все, кто не с нами, остаются при своем мнении (но мы, разумеется, их все равно ждут и будем им рады), а нам, извините, пора делами заниматься.	[]	[{'id': 18, 'form': 'их', 'lemma': 'они', 'upos': 'PRON', 'xpos': None, 'feats': {'Case': 'Gen', 'Number': 'Plur', 'Person': '3', 'PronType': 'Prs'}, 'head': 21, 'deprel': 'obl', 'deps': [('obl:gen', 21)], 'misc': None}]	1	0	1	True	False	True	0.0077960106955424	SV-P	rus	1	3	SV	verb	+
Я тебя уму-разуму научу.	научу	5			Я	0	{'Case': 'Nom', 'Number': 'Sing', 'Person': '1', 'PronType': 'Prs', 'lemma': 'я'}	PRON	научу	5	{'Aspect': 'Perf', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '1', 'Tense': 'Fut', 'VerbForm': 'Fin', 'Voice': 'Act', 'lemma': 'научить'}	VERB	5	[{'id': 2, 'form': 'тебя', 'lemma': 'ты', 'upos': 'PRON', 'xpos': None, 'feats': {'Case': 'Acc', 'Number': 'Sing', 'Person': '2', 'PronType': 'Prs'}, 'head': 6, 'deprel': 'obj', 'deps': [('obj', 6)], 'misc': None}]	{'sent_id': '2005Mamleev_svadba.xml_230', 'text': 'Я тебя уму-разуму научу.', 'treebank': 'UD_Russian-SynTagRus/ru_syntagrus-ud-train.conllu'}	научит	1 -> 3	Я тебя уму-разуму	Я тебя уму-разуму научит.	[]	[{'id': 2, 'form': 'тебя', 'lemma': 'ты', 'upos': 'PRON', 'xpos': None, 'feats': {'Case': 'Acc', 'Number': 'Sing', 'Person': '2', 'PronType': 'Prs'}, 'head': 6, 'deprel': 'obj', 'deps': [('obj', 6)], 'misc': None}]	1	0	1	True	False	True	0.0058639558709949	SV-P	rus	1	3	SV	verb	+
Я ее не сторожу, - не оборачиваясь ответила Виктория.	сторожу	3			Я	0	{'Case': 'Nom', 'Number': 'Sing', 'Person': '1', 'lemma': 'я'}	PRON	сторожу	3	{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act', 'lemma': 'сторожить'}	VERB	3	[{'id': 2, 'form': 'ее', 'lemma': 'она', 'upos': 'PRON', 'xpos': None, 'feats': {'Case': 'Acc', 'Gender': 'Fem', 'Number': 'Sing', 'Person': '3'}, 'head': 4, 'deprel': 'obj', 'deps': [('obj', 4)], 'misc': None}]	{'sent_id': '2019Podkidysh.xml_197', 'genre': 'journalism', 'text': 'Я ее не сторожу, - не оборачиваясь ответила Виктория.', 'treebank': 'UD_Russian-SynTagRus/ru_syntagrus-ud-train.conllu'}	сторожит	1 -> 3	Я ее не	Я ее не сторожит, - не оборачиваясь ответила Виктория.	[]	[{'id': 2, 'form': 'ее', 'lemma': 'она', 'upos': 'PRON', 'xpos': None, 'feats': {'Case': 'Acc', 'Gender': 'Fem', 'Number': 'Sing', 'Person': '3'}, 'head': 4, 'deprel': 'obj', 'deps': [('obj', 4)], 'misc': None}]	1	0	1	True	False	True	0.0012683791695882	SV-P	rus	1	3	SV	verb	+
